heure,home,away,cote_1,cote_X,cote_2
9:00pm,Manchester United,Newcastle United,2.55,3.25,2.65
1:30pm,Birmingham City,Derby County,1.77,3.41,4.75
2:00pm,Millwall,Ipswich Town,3.65,3.30,2.05
4:00pm,Oxford United,Southampton,4.10,3.60,1.82
4:00pm,Leicester City,Watford,2.11,3.31,3.40
4:00pm,Middlesbrough,Blackburn Rovers,1.96,3.38,3.80
4:00pm,Norwich City,Charlton Athletic,2.13,3.31,3.34
4:00pm,Coventry City,Swansea City,1.51,4.30,5.80
4:00pm,Stoke City,Preston North End,2.05,3.23,3.68
4:00pm,West Bromwich Albion,Bristol City,2.17,3.29,3.28
4:00pm,Portsmouth,Queens Park Rangers,2.75,3.26,2.50
4:00pm,Sheffield Wednesday,Hull City,3.04,3.35,2.26
6:30pm,Wrexham,Sheffield United,2.90,3.35,2.35
4:00pm,Huddersfield Town,Port Vale,1.91,3.15,3.59
4:00pm,Barnsley,Mansfield Town,1.99,3.51,3.02
4:00pm,Blackpool,Doncaster Rovers,2.42,3.20,2.53
4:00pm,Bolton Wanderers,Rotherham United,1.38,4.20,6.40
4:00pm,Cardiff City,Exeter City,1.59,3.53,4.80
4:00pm,AFC Wimbledon,Stevenage,2.85,2.88,2.38
4:00pm,Burton Albion,Northampton Town,2.13,3.13,3.01
4:00pm,Bradford City,Wigan Athletic,1.85,3.21,3.72
4:00pm,Luton Town,Wycombe Wanderers,2.33,3.05,2.75
4:00pm,Peterborough United,Leyton Orient,2.18,3.15,2.90
4:00pm,Plymouth Argyle,Reading,2.44,3.15,2.55
4:00pm,Stockport County,Lincoln City,2.08,3.18,3.09
4:00pm,Newport County,Barnet,4.50,3.41,1.65
4:00pm,Crawley Town,Colchester United,2.49,3.21,2.46
4:00pm,Walsall,Crewe Alexandra,2.03,3.13,3.25
4:00pm,Chesterfield,Notts County,2.39,3.23,2.55
4:00pm,Accrington Stanley,Barrow,2.04,3.08,3.27
4:00pm,Cheltenham Town,Shrewsbury Town,2.82,3.01,2.31
4:00pm,Gillingham,Cambridge United,2.44,2.98,2.67
4:00pm,Grimsby Town,Oldham Athletic,1.76,3.45,3.86
4:00pm,Milton Keynes Dons,Swindon Town,1.95,3.34,3.25
